Date,Open,High,Low,Close,Adj Close,Volume
2016-06-20,698.770020,702.770020,673.450012,675.219971,675.219971,11352800
2016-06-27,671.000000,700.650024,663.283997,699.210022,699.210022,9677800
2016-07-04,696.059998,705.710022,688.215027,705.630005,705.630005,5753900
2016-07-11,708.049988,725.739990,707.239990,719.849976,719.849976,5614100
2016-07-18,722.710022,743.239990,721.190002,742.739990,742.739990,6098800
2016-07-25,740.669983,778.549988,734.270020,768.789978,768.789978,11103300
2016-08-01,761.090027,783.039978,761.090027,782.219971,782.219971,8713900
2016-08-08,782.000000,789.750000,778.091003,783.219971,783.219971,4928800
2016-08-15,783.750000,787.489990,773.130005,775.419983,775.419983,4471300
2016-08-22,773.270020,776.440002,763.184998,769.539978,769.539978,5045200
2016-08-29,768.739990,774.989990,764.299988,771.460022,771.460022,5224000
2016-09-05,773.450012,782.729980,759.659973,759.659973,759.659973,5492300
2016-09-12,755.130005,773.799988,754.000000,768.880005,768.880005,7147800
2016-09-19,772.419983,789.849976,764.440979,786.900024,786.900024,6217300
2016-09-26,782.739990,785.989990,773.070007,777.289978,777.289978,6696200
2016-10-03,774.250000,782.070007,769.500000,775.080017,775.080017,5945300
2016-10-10,777.710022,792.280029,773.000000,778.530029,778.530029,5702600
2016-10-17,779.799988,804.599976,777.500000,799.369995,799.369995,7940400
2016-10-24,804.900024,816.679993,791.500000,795.369995,795.369995,11940700
2016-10-31,795.469971,796.859985,750.560974,762.020020,762.020020,10784100
2016-11-07,774.500000,795.632996,750.380005,754.020020,754.020020,12682200
2016-11-14,755.599976,775.000000,727.539978,760.539978,760.539978,10362100
2016-11-21,762.609985,776.960022,755.250000,761.679993,761.679993,4989500
2016-11-28,760.000000,779.530029,737.025024,750.500000,750.500000,10668100
2016-12-05,757.710022,789.429993,752.900024,789.289978,789.289978,8155900
2016-12-12,785.039978,804.380005,784.354980,790.799988,790.799988,10023800
2016-12-19,790.219971,798.650024,786.270020,789.909973,789.909973,4990000
2016-12-26,790.679993,797.859985,770.409973,771.820007,771.820007,4457200
2017-01-02,778.809998,807.900024,775.799988,806.150024,806.150024,5705700
2017-01-09,806.400024,811.223999,799.169983,807.880005,807.880005,5969600
2017-01-16,807.080017,809.479980,800.369995,805.020020,805.020020,5245800
2017-01-23,807.250000,841.950012,803.739990,823.309998,823.309998,10871800
2017-01-30,814.659973,815.840027,790.520020,801.489990,801.489990,10432400
2017-02-06,799.700012,815.250000,795.250000,813.669983,813.669983,5705700
2017-02-13,816.000000,828.070007,815.489990,828.070007,828.070007,6480200
2017-02-20,828.659973,833.450012,822.880005,828.640015,828.640015,5110200
2017-02-27,824.549988,836.255005,820.200012,829.080017,829.080017,6697700
2017-03-06,826.950012,844.909973,822.400024,843.250000,843.250000,6101900
2017-03-13,844.000000,853.400024,840.770020,852.119995,852.119995,6074900
2017-03-20,850.010010,853.500000,808.890015,814.429993,814.429993,10564600
2017-03-27,806.950012,833.679993,803.369995,829.559998,829.559998,7758300
2017-04-03,829.219971,842.450012,820.513000,824.669983,824.669983,6583900
2017-04-10,825.390015,829.349976,817.020020,823.559998,823.559998,4081500
2017-04-17,825.010010,845.200012,824.469971,843.190002,843.190002,4968500
2017-04-24,851.200012,916.849976,849.859985,905.960022,905.960022,9584800
2017-05-01,901.940002,935.929993,901.450012,927.130005,927.130005,8536100
2017-05-08,926.119995,937.500000,923.030029,932.219971,932.219971,5971100
2017-05-15,932.950012,943.109985,918.140015,934.010010,934.010010,7429600
2017-05-22,935.000000,974.979980,935.000000,971.469971,971.469971,6326100
2017-05-29,970.309998,979.270020,960.010010,975.599976,975.599976,7076300
2017-06-05,976.549988,988.250000,935.630005,949.830017,949.830017,9311900
2017-06-12,939.559998,961.150024,915.232971,939.780029,939.780029,12494300
2017-06-19,949.960022,966.000000,949.049988,965.590027,965.590027,6330800
2017-06-26,969.900024,973.309998,908.309998,908.729980,908.729980,12289100
2017-07-03,912.179993,921.539978,894.789978,918.590027,918.590027,6586000
2017-07-10,921.770020,956.909973,919.590027,955.989990,955.989990,6186600
2017-07-17,957.000000,975.900024,949.241028,972.919983,972.919983,6879500
2017-07-24,972.219971,986.200012,920.000000,941.530029,941.530029,15057000
2017-07-31,941.890015,943.590027,916.679993,927.960022,927.960022,7357000
2017-08-07,929.059998,935.814026,905.580017,914.390015,914.390015,6316700
2017-08-14,922.530029,932.700012,907.153992,910.669983,910.669983,5574500
2017-08-21,910.000000,930.840027,903.400024,915.890015,915.890015,5524000
2017-08-28,916.000000,923.330017,905.000000,921.289978,921.289978,2267700
